layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,column_name,format_a_type,format_b_type
feryrt_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
lights,49.0,50.0,49.0,1.0,0.0,16.0,False,feature_id,,,
lights_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
lights_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
lights_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
lights_TYPE_MISMATCH,,,,,,,,,marsys,float64,object
lights_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
lights_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
lights_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
lights_TYPE_MISMATCH,,,,,,,,,litchr,int32,int64
lights_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
lights_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
lights_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
lights_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
lights_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
lights_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
lights_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
lights_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
buisgl,42.0,43.0,42.0,1.0,0.0,20.0,False,feature_id,,,
buisgl_TYPE_MISMATCH,,,,,,,,,conrad,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,buishp,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,convis,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
buisgl_TYPE_MISMATCH,,,,,,,,,condtn,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
buisgl_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,verlen,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,elevat,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
buisgl_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
fshzne,29.0,30.0,29.0,1.0,0.0,12.0,False,feature_id,,,
fshzne_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
fshzne_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
fshzne_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
fshzne_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
fshzne_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
navlne,32.0,33.0,32.0,1.0,0.0,12.0,False,feature_id,,,
navlne_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
navlne_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
navlne_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
navlne_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
navlne_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
navlne_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
navlne_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
navlne_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
navlne_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
navlne_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
navlne_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
navlne_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
fairwy,37.0,38.0,37.0,1.0,0.0,17.0,False,feature_id,,,
fairwy_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
fairwy_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
fairwy_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
fairwy_TYPE_MISMATCH,,,,,,,,,orient,float64,object
fairwy_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
fairwy_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
fairwy_TYPE_MISMATCH,,,,,,,,,drval1,float64,object
fairwy_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
fairwy_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
fairwy_TYPE_MISMATCH,,,,,,,,,trafic,int32,int64
fairwy_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
