layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,missing_in_b,column_name,format_a_type,format_b_type
slotop_TYPE_MISMATCH,,,,,,,,,,convis,float64,object
boyspp,42.0,43.0,41.0,2.0,1.0,14.0,False,"ogc_fid, wkb_geometry",geometry,,,
boyspp_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
boyspp_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
boyspp_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
boyspp_TYPE_MISMATCH,,,,,,,,,,veracc,float64,object
boyspp_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,verlen,float64,object
boyspp_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
mipare,34.0,35.0,33.0,2.0,1.0,12.0,False,"ogc_fid, wkb_geometry",geometry,,,
mipare_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
mipare_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
mipare_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
mipare_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
mipare_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
mipare_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
mipare_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
mipare_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
mipare_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
mipare_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
mipare_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
mipare_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
hrbfac,35.0,36.0,34.0,2.0,1.0,13.0,False,"ogc_fid, wkb_geometry",geometry,,,
hrbfac_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
hrbfac_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
hrbfac_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
hrbfac_TYPE_MISMATCH,,,,,,,,,,condtn,float64,object
hrbfac_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
m_npub,25.0,26.0,24.0,2.0,1.0,10.0,False,"ogc_fid, wkb_geometry",geometry,,,
m_npub_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
m_npub_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
m_npub_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
airare,32.0,33.0,31.0,2.0,1.0,14.0,False,"ogc_fid, wkb_geometry",geometry,,,
airare_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
airare_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
airare_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
airare_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
airare_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
airare_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
airare_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
airare_TYPE_MISMATCH,,,,,,,,,,condtn,float64,object
airare_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
airare_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
airare_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
airare_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
airare_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
airare_TYPE_MISMATCH,,,,,,,,,,convis,float64,object
rivers,28.0,29.0,27.0,2.0,1.0,12.0,False,"ogc_fid, wkb_geometry",geometry,,,
rivers_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
rivers_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
rivers_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
rivers_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
rivers_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
rivers_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
rivers_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
rivers_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
rivers_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
rivers_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
rivers_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
rivers_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
edge,22.0,23.0,21.0,2.0,1.0,20.0,False,"ogc_fid, wkb_geometry",geometry,,,
edge_TYPE_MISMATCH,,,,,,,,,,name_rcid_0,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,name_rcnm_1,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,topi_0,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,posacc,float64,object
edge_TYPE_MISMATCH,,,,,,,,,,mask_1,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,name_rcid_1,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,rcid,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,ruin,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,rcnm,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,usag_1,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,name_rcnm_0,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,usag_0,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,ornt_1,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,quapos,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,ornt_0,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,topi_1,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,rver,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,object
edge_TYPE_MISMATCH,,,,,,,,,,mask_0,int32,object
dmpgrd,30.0,31.0,29.0,2.0,1.0,12.0,False,"ogc_fid, wkb_geometry",geometry,,,
