layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,column_name,format_a_type,format_b_type
rectrc_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
rectrc_TYPE_MISMATCH,,,,,,,,,drval2,float64,object
rectrc_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
rectrc_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
rectrc_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
rectrc_TYPE_MISMATCH,,,,,,,,,drval1,float64,object
rectrc_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
rectrc_TYPE_MISMATCH,,,,,,,,,trafic,int32,int64
tsslpt,27.0,32.0,27.0,5.0,0.0,13.0,False,"lnam_refs, status, ffpt_rind, feature_id, restrn",,,
tsslpt_TYPE_MISMATCH,,,,,,,,,scamin,float64,object
tsslpt_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
tsslpt_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
tsslpt_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
tsslpt_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
tsslpt_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
tsslpt_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
tsslpt_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
tsslpt_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
tsslpt_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
tsslpt_TYPE_MISMATCH,,,,,,,,,cattss,int32,int64
tsslpt_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
tsslpt_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
seaare,26.0,29.0,26.0,3.0,0.0,12.0,False,"lnam_refs, ffpt_rind, feature_id",,,
seaare_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
seaare_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
seaare_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
seaare_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
seaare_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
seaare_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
seaare_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
seaare_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
seaare_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
seaare_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
seaare_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
seaare_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
bridge,38.0,45.0,38.0,7.0,0.0,20.0,False,"lnam_refs, colour, ffpt_rind, feature_id, natcon, colpat, catbrg",,,
bridge_TYPE_MISMATCH,,,,,,,,,conrad,float64,object
bridge_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
bridge_TYPE_MISMATCH,,,,,,,,,vercop,float64,object
bridge_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
bridge_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
bridge_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
bridge_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
bridge_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
bridge_TYPE_MISMATCH,,,,,,,,,convis,float64,object
bridge_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
bridge_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
bridge_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
bridge_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
bridge_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
bridge_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
bridge_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
bridge_TYPE_MISMATCH,,,,,,,,,horacc,float64,object
bridge_TYPE_MISMATCH,,,,,,,,,verccl,float64,object
bridge_TYPE_MISMATCH,,,,,,,,,condtn,float64,object
bridge_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
siltnk,36.0,44.0,36.0,8.0,0.0,20.0,False,"lnam_refs, colour, status, prodct, ffpt_rind, feature_id, natcon, colpat",,,
siltnk_TYPE_MISMATCH,,,,,,,,,conrad,float64,object
siltnk_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
siltnk_TYPE_MISMATCH,,,,,,,,,catsil,int32,int64
siltnk_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
siltnk_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
siltnk_TYPE_MISMATCH,,,,,,,,,elevat,float64,object
siltnk_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
siltnk_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
siltnk_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
siltnk_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
siltnk_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
siltnk_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
siltnk_TYPE_MISMATCH,,,,,,,,,buishp,float64,object
siltnk_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
siltnk_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
siltnk_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
siltnk_TYPE_MISMATCH,,,,,,,,,height,float64,object
siltnk_TYPE_MISMATCH,,,,,,,,,condtn,float64,object
siltnk_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
siltnk_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
wrecks,36.0,42.0,36.0,6.0,0.0,20.0,False,"lnam_refs, quasou, status, tecsou, ffpt_rind, feature_id",,,
wrecks_TYPE_MISMATCH,,,,,,,,,conrad,float64,object
wrecks_TYPE_MISMATCH,,,,,,,,,watlev,int32,int64
wrecks_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
wrecks_TYPE_MISMATCH,,,,,,,,,souacc,float64,object
wrecks_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
wrecks_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
wrecks_TYPE_MISMATCH,,,,,,,,,verlen,float64,object
wrecks_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
wrecks_TYPE_MISMATCH,,,,,,,,,convis,float64,object
wrecks_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
wrecks_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
wrecks_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
wrecks_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
wrecks_TYPE_MISMATCH,,,,,,,,,catwrk,int32,int64
wrecks_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
wrecks_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
wrecks_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
wrecks_TYPE_MISMATCH,,,,,,,,,height,float64,object
wrecks_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
wrecks_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
hrbfac,30.0,36.0,30.0,6.0,0.0,13.0,False,"lnam_refs, status, cathaf, ffpt_rind, feature_id, natcon",,,
hrbfac_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
hrbfac_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
hrbfac_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
hrbfac_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
hrbfac_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
hrbfac_TYPE_MISMATCH,,,,,,,,,condtn,float64,object
hrbfac_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
conzne,26.0,30.0,26.0,4.0,0.0,12.0,False,"lnam_refs, ffpt_rind, feature_id, status",,,
conzne_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
conzne_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
conzne_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
conzne_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
conzne_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
conzne_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
conzne_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
conzne_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
conzne_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
conzne_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
conzne_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
conzne_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
prcare,25.0,30.0,25.0,5.0,0.0,12.0,False,"lnam_refs, status, ffpt_rind, feature_id, restrn",,,
prcare_TYPE_MISMATCH,,,,,,,,,scamin,float64,object
prcare_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
prcare_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
prcare_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
prcare_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
prcare_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
morfac,40.0,47.0,40.0,7.0,0.0,22.0,False,"lnam_refs, colour, status, ffpt_rind, feature_id, natcon, colpat",,,
morfac_TYPE_MISMATCH,,,,,,,,,conrad,float64,object
morfac_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
morfac_TYPE_MISMATCH,,,,,,,,,watlev,float64,object
morfac_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
morfac_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
morfac_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
morfac_TYPE_MISMATCH,,,,,,,,,boyshp,float64,object
morfac_TYPE_MISMATCH,,,,,,,,,verlen,float64,object
morfac_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
morfac_TYPE_MISMATCH,,,,,,,,,convis,float64,object
morfac_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
morfac_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
morfac_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
morfac_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
morfac_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
morfac_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
morfac_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
morfac_TYPE_MISMATCH,,,,,,,,,catmor,int32,int64
morfac_TYPE_MISMATCH,,,,,,,,,height,float64,object
morfac_TYPE_MISMATCH,,,,,,,,,condtn,float64,object
morfac_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
morfac_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
cgusta,29.0,33.0,29.0,4.0,0.0,12.0,False,"lnam_refs, ffpt_rind, feature_id, status",,,
cgusta_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
cgusta_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
cgusta_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
cgusta_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
cgusta_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
cgusta_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
cgusta_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
cgusta_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
cgusta_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
cgusta_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
cgusta_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
cgusta_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
pilbop,33.0,37.0,33.0,4.0,0.0,12.0,False,"lnam_refs, ffpt_rind, feature_id, status",,,
pilbop_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
pilbop_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
pilbop_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
pilbop_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
pilbop_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
pilbop_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
marcul,37.0,43.0,37.0,6.0,0.0,20.0,False,"lnam_refs, quasou, status, ffpt_rind, feature_id, restrn",,,
marcul_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
marcul_TYPE_MISMATCH,,,,,,,,,watlev,int32,int64
marcul_TYPE_MISMATCH,,,,,,,,,souacc,float64,object
marcul_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
marcul_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
marcul_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
marcul_TYPE_MISMATCH,,,,,,,,,verlen,float64,object
marcul_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
marcul_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
marcul_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
marcul_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
marcul_TYPE_MISMATCH,,,,,,,,,expsou,int32,int64
marcul_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
marcul_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
marcul_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
marcul_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
marcul_TYPE_MISMATCH,,,,,,,,,catmfa,int32,int64
marcul_TYPE_MISMATCH,,,,,,,,,valsou,float64,object
marcul_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
marcul_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
lakare,28.0,31.0,28.0,3.0,0.0,15.0,False,"lnam_refs, ffpt_rind, feature_id",,,
lakare_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
lakare_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
lakare_TYPE_MISMATCH,,,,,,,,,elevat,float64,object
lakare_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
lakare_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
lakare_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
lakare_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
lakare_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
buisgl,35.0,43.0,35.0,8.0,0.0,20.0,False,"lnam_refs, colour, functn, status, ffpt_rind, feature_id, natcon, colpat",,,
buisgl_TYPE_MISMATCH,,,,,,,,,conrad,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
buisgl_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,elevat,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,verlen,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
buisgl_TYPE_MISMATCH,,,,,,,,,convis,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
buisgl_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,buishp,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
buisgl_TYPE_MISMATCH,,,,,,,,,condtn,float64,object
buisgl_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
