layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,missing_in_b
ponton,40,39,38,1,2,0,False,wkb_geometry,"geometry, geom"
tesare,29,28,27,1,2,0,False,wkb_geometry,"geometry, geom"
bridge,46,45,44,1,2,0,False,wkb_geometry,"geometry, geom"
fogsig,41,40,39,1,2,0,False,wkb_geometry,"geometry, geom"
soundg,36,35,34,1,2,0,False,wkb_geometry,"geometry, geom"
slotop,39,38,37,1,2,0,False,wkb_geometry,"geometry, geom"
damcon,42,41,40,1,2,0,False,wkb_geometry,"geometry, geom"
tssbnd,31,30,29,1,2,0,False,wkb_geometry,"geometry, geom"
edge,24,23,22,1,2,0,False,wkb_geometry,"geometry, geom"
c_asso,29,29,28,1,1,0,True,wkb_geometry,geom
navlne,34,33,32,1,2,0,False,wkb_geometry,"geometry, geom"
coalne,37,36,35,1,2,0,False,wkb_geometry,"geometry, geom"
m_qual,35,34,33,1,2,0,False,wkb_geometry,"geometry, geom"
lndelv,33,32,31,1,2,0,False,wkb_geometry,"geometry, geom"
tsezne,31,30,29,1,2,0,False,wkb_geometry,"geometry, geom"
rtpbcn,41,40,39,1,2,0,False,wkb_geometry,"geometry, geom"
rivers,30,29,28,1,2,0,False,wkb_geometry,"geometry, geom"
fairwy,39,38,37,1,2,0,False,wkb_geometry,"geometry, geom"
achare,36,35,34,1,2,0,False,wkb_geometry,"geometry, geom"
depare,32,31,30,1,2,0,False,wkb_geometry,"geometry, geom"
tsslpt,33,32,31,1,2,0,False,wkb_geometry,"geometry, geom"
fshzne,31,30,29,1,2,0,False,wkb_geometry,"geometry, geom"
topmar,41,40,39,1,2,0,False,wkb_geometry,"geometry, geom"
lndmrk,44,43,42,1,2,0,False,wkb_geometry,"geometry, geom"
lights,51,50,49,1,2,0,False,wkb_geometry,"geometry, geom"
m_npub,27,26,25,1,2,0,False,wkb_geometry,"geometry, geom"
resare,36,35,34,1,2,0,False,wkb_geometry,"geometry, geom"
boylat,44,43,42,1,2,0,False,wkb_geometry,"geometry, geom"
wedklp,30,29,28,1,2,0,False,wkb_geometry,"geometry, geom"
wrecks,43,42,41,1,2,0,False,wkb_geometry,"geometry, geom"
siltnk,45,44,43,1,2,0,False,wkb_geometry,"geometry, geom"
airare,34,33,32,1,2,0,False,wkb_geometry,"geometry, geom"
feryrt,35,34,33,1,2,0,False,wkb_geometry,"geometry, geom"
pilpnt,40,39,38,1,2,0,False,wkb_geometry,"geometry, geom"
slcons,48,47,46,1,2,0,False,wkb_geometry,"geometry, geom"
pilbop,38,37,36,1,2,0,False,wkb_geometry,"geometry, geom"
wattur,30,29,28,1,2,0,False,wkb_geometry,"geometry, geom"
connectednode,12,11,10,1,2,0,False,wkb_geometry,"geometry, geom"
m_nsys,29,28,27,1,2,0,False,wkb_geometry,"geometry, geom"
dmpgrd,32,31,30,1,2,0,False,wkb_geometry,"geometry, geom"
ctnare,31,30,29,1,2,0,False,wkb_geometry,"geometry, geom"
conzne,31,30,29,1,2,0,False,wkb_geometry,"geometry, geom"
cblohd,41,40,39,1,2,0,False,wkb_geometry,"geometry, geom"
cblsub,38,37,36,1,2,0,False,wkb_geometry,"geometry, geom"
bcnspp,49,48,47,1,2,0,False,wkb_geometry,"geometry, geom"
splare,33,32,31,1,2,0,False,wkb_geometry,"geometry, geom"
rectrc,43,42,41,1,2,0,False,wkb_geometry,"geometry, geom"
hrbfac,37,36,35,1,2,0,False,wkb_geometry,"geometry, geom"
depcnt,30,29,28,1,2,0,False,wkb_geometry,"geometry, geom"
prcare,31,30,29,1,2,0,False,wkb_geometry,"geometry, geom"
lndare,31,30,29,1,2,0,False,wkb_geometry,"geometry, geom"
rdocal,37,36,35,1,2,0,False,wkb_geometry,"geometry, geom"
