attribute,gpkg,spatialite,notes
SAMPLE_F6_lnam,022601355E2F0032,022601355E2F0032,Feature 6 - lnam
SAMPLE_F6_ninfom,None,None,Feature 6 - ninfom
SAMPLE_F6_nobjnm,None,None,Feature 6 - nobjnm
SAMPLE_F6_ntxtds,None,None,Feature 6 - ntxtds
SAMPLE_F6_objl,51,51,Feature 6 - objl
SAMPLE_F6_objnam,Long Beach Middle Channel,Long Beach Middle Channel,Feature 6 - objnam
SAMPLE_F6_orient,nan,nan,Feature 6 - orient
SAMPLE_F6_prim,3,3,Feature 6 - prim
SAMPLE_F6_rcid,3673,3673,Feature 6 - rcid
SAMPLE_F6_recdat,None,None,Feature 6 - recdat
SAMPLE_F6_recind,None,None,Feature 6 - recind
SAMPLE_F6_rver,1,1,Feature 6 - rver
SAMPLE_F6_scamax,nan,nan,Feature 6 - scamax
SAMPLE_F6_scamin,179999,179999,Feature 6 - scamin
SAMPLE_F6_sordat,20041105,20041105,Feature 6 - sordat
SAMPLE_F6_sorind,"US,US,reprt,DD-5636","US,US,reprt,DD-5636",Feature 6 - sorind
SAMPLE_F6_souacc,nan,nan,Feature 6 - souacc
SAMPLE_F6_trafic,4,4,Feature 6 - trafic
SAMPLE_F6_txtdsc,None,None,Feature 6 - txtdsc
SAMPLE_F6_verdat,nan,nan,Feature 6 - verdat
SAMPLE_FEATURE_7_SEPARATOR,--- FEATURE 7 ---,--- FEATURE 7 ---,Feature 7 sample
SAMPLE_F7_agen,550,550,Feature 7 - agen
SAMPLE_F7_datend,None,None,Feature 7 - datend
SAMPLE_F7_datsta,None,None,Feature 7 - datsta
SAMPLE_F7_drval1,nan,nan,Feature 7 - drval1
SAMPLE_F7_dsid_dsnm,US4CA60M,US4CA60M,Feature 7 - dsid_dsnm
SAMPLE_F7_dsid_edtn,37,37,Feature 7 - dsid_edtn
SAMPLE_F7_dsid_updn,6,6,Feature 7 - dsid_updn
SAMPLE_F7_fidn,275028945,275028945,Feature 7 - fidn
SAMPLE_F7_fids,4139,4139,Feature 7 - fids
SAMPLE_F7_geometry,"POLYGON ((-118.2384042 33.7175207, -118.2396998 33...","POLYGON ((-118.2384042 33.7175207, -118.2396998 33...",Feature 7 - geometry
SAMPLE_F7_grup,2,2,Feature 7 - grup
SAMPLE_F7_inform,None,None,Feature 7 - inform
SAMPLE_F7_lnam,022610649BD1102B,022610649BD1102B,Feature 7 - lnam
SAMPLE_F7_ninfom,None,None,Feature 7 - ninfom
SAMPLE_F7_nobjnm,None,None,Feature 7 - nobjnm
SAMPLE_F7_ntxtds,None,None,Feature 7 - ntxtds
SAMPLE_F7_objl,51,51,Feature 7 - objl
SAMPLE_F7_objnam,Pier 400 channel,Pier 400 channel,Feature 7 - objnam
SAMPLE_F7_orient,nan,nan,Feature 7 - orient
SAMPLE_F7_prim,3,3,Feature 7 - prim
SAMPLE_F7_rcid,3674,3674,Feature 7 - rcid
SAMPLE_F7_recdat,None,None,Feature 7 - recdat
SAMPLE_F7_recind,None,None,Feature 7 - recind
SAMPLE_F7_rver,1,1,Feature 7 - rver
SAMPLE_F7_scamax,nan,nan,Feature 7 - scamax
SAMPLE_F7_scamin,179999,179999,Feature 7 - scamin
SAMPLE_F7_sordat,20041105,20041105,Feature 7 - sordat
SAMPLE_F7_sorind,"US,US,reprt,DD-5636","US,US,reprt,DD-5636",Feature 7 - sorind
SAMPLE_F7_souacc,nan,nan,Feature 7 - souacc
SAMPLE_F7_trafic,4,4,Feature 7 - trafic
SAMPLE_F7_txtdsc,None,None,Feature 7 - txtdsc
SAMPLE_F7_verdat,nan,nan,Feature 7 - verdat
SAMPLE_FEATURE_8_SEPARATOR,--- FEATURE 8 ---,--- FEATURE 8 ---,Feature 8 sample
SAMPLE_F8_agen,550,550,Feature 8 - agen
SAMPLE_F8_datend,None,None,Feature 8 - datend
SAMPLE_F8_datsta,None,None,Feature 8 - datsta
SAMPLE_F8_drval1,nan,nan,Feature 8 - drval1
SAMPLE_F8_dsid_dsnm,US4CA60M,US4CA60M,Feature 8 - dsid_dsnm
SAMPLE_F8_dsid_edtn,37,37,Feature 8 - dsid_edtn
SAMPLE_F8_dsid_updn,6,6,Feature 8 - dsid_updn
SAMPLE_F8_fidn,190781217,190781217,Feature 8 - fidn
SAMPLE_F8_fids,17978,17978,Feature 8 - fids
SAMPLE_F8_geometry,"POLYGON ((-118.2774359 33.7141542, -118.2744762 33...","POLYGON ((-118.2774359 33.7141542, -118.2744762 33...",Feature 8 - geometry
SAMPLE_F8_grup,2,2,Feature 8 - grup
SAMPLE_F8_inform,None,None,Feature 8 - inform
SAMPLE_F8_lnam,02260B5F1721463A,02260B5F1721463A,Feature 8 - lnam
SAMPLE_F8_ninfom,None,None,Feature 8 - ninfom
SAMPLE_F8_nobjnm,None,None,Feature 8 - nobjnm
SAMPLE_F8_ntxtds,None,None,Feature 8 - ntxtds
SAMPLE_F8_objl,51,51,Feature 8 - objl
SAMPLE_F8_objnam,Los Angeles Channel Turning Basin,Los Angeles Channel Turning Basin,Feature 8 - objnam
SAMPLE_F8_orient,nan,nan,Feature 8 - orient
SAMPLE_F8_prim,3,3,Feature 8 - prim
SAMPLE_F8_rcid,3675,3675,Feature 8 - rcid
SAMPLE_F8_recdat,None,None,Feature 8 - recdat
SAMPLE_F8_recind,None,None,Feature 8 - recind
SAMPLE_F8_rver,1,1,Feature 8 - rver
SAMPLE_F8_scamax,nan,nan,Feature 8 - scamax
SAMPLE_F8_scamin,179999,179999,Feature 8 - scamin
SAMPLE_F8_sordat,20140210,20140210,Feature 8 - sordat
SAMPLE_F8_sorind,"US,US,reprt,L-448/14","US,US,reprt,L-448/14",Feature 8 - sorind
SAMPLE_F8_souacc,nan,nan,Feature 8 - souacc
SAMPLE_F8_trafic,4,4,Feature 8 - trafic
SAMPLE_F8_txtdsc,None,None,Feature 8 - txtdsc
SAMPLE_F8_verdat,nan,nan,Feature 8 - verdat
SAMPLE_FEATURE_9_SEPARATOR,--- FEATURE 9 ---,--- FEATURE 9 ---,Feature 9 sample
SAMPLE_F9_agen,550,550,Feature 9 - agen
SAMPLE_F9_datend,None,None,Feature 9 - datend
SAMPLE_F9_datsta,None,None,Feature 9 - datsta
SAMPLE_F9_drval1,nan,nan,Feature 9 - drval1
SAMPLE_F9_dsid_dsnm,US4CA60M,US4CA60M,Feature 9 - dsid_dsnm
SAMPLE_F9_dsid_edtn,37,37,Feature 9 - dsid_edtn
SAMPLE_F9_dsid_updn,6,6,Feature 9 - dsid_updn
SAMPLE_F9_fidn,275028926,275028926,Feature 9 - fidn
SAMPLE_F9_fids,4139,4139,Feature 9 - fids
SAMPLE_F9_geometry,"POLYGON ((-118.2603467 33.7308401, -118.2426747 33...","POLYGON ((-118.2603467 33.7308401, -118.2426747 33...",Feature 9 - geometry
SAMPLE_F9_grup,2,2,Feature 9 - grup
SAMPLE_F9_inform,None,None,Feature 9 - inform
SAMPLE_F9_lnam,022610649BBE102B,022610649BBE102B,Feature 9 - lnam
SAMPLE_F9_ninfom,None,None,Feature 9 - ninfom
SAMPLE_F9_nobjnm,None,None,Feature 9 - nobjnm
SAMPLE_F9_ntxtds,None,None,Feature 9 - ntxtds
SAMPLE_F9_objl,51,51,Feature 9 - objl
SAMPLE_F9_objnam,Pier 300 channel,Pier 300 channel,Feature 9 - objnam
SAMPLE_F9_orient,nan,nan,Feature 9 - orient
SAMPLE_F9_prim,3,3,Feature 9 - prim
SAMPLE_F9_rcid,3676,3676,Feature 9 - rcid
SAMPLE_F9_recdat,None,None,Feature 9 - recdat
SAMPLE_F9_recind,None,None,Feature 9 - recind
SAMPLE_F9_rver,1,1,Feature 9 - rver
SAMPLE_F9_scamax,nan,nan,Feature 9 - scamax
