attribute,gpkg,spatialite,notes
SAMPLE_FEATURE_4_SEPARATOR,--- FEATURE 4 ---,--- FEATURE 4 ---,Feature 4 sample
SAMPLE_F4_agen,550,550,Feature 4 - agen
SAMPLE_F4_curvel,nan,nan,Feature 4 - curvel
SAMPLE_F4_datend,None,None,Feature 4 - datend
SAMPLE_F4_datsta,None,None,Feature 4 - datsta
SAMPLE_F4_dsid_dsnm,US1GC09M,US1GC09M,Feature 4 - dsid_dsnm
SAMPLE_F4_dsid_edtn,65,65,Feature 4 - dsid_edtn
SAMPLE_F4_dsid_updn,5,5,Feature 4 - dsid_updn
SAMPLE_F4_fidn,253934478,253934478,Feature 4 - fidn
SAMPLE_F4_fids,4044,4044,Feature 4 - fids
SAMPLE_F4_geometry,Point(1),Point(1),Feature 4 - geometry
SAMPLE_F4_grup,2,2,Feature 4 - grup
SAMPLE_F4_inform,Approximate Axis of Gulf Stream,Approximate Axis of Gulf Stream,Feature 4 - inform
SAMPLE_F4_lnam,02260F22BB8E0FCC,02260F22BB8E0FCC,Feature 4 - lnam
SAMPLE_F4_ninfom,None,None,Feature 4 - ninfom
SAMPLE_F4_nobjnm,None,None,Feature 4 - nobjnm
SAMPLE_F4_objl,36,36,Feature 4 - objl
SAMPLE_F4_objnam,Gulf Stream,Gulf Stream,Feature 4 - objnam
SAMPLE_F4_orient,359.0,359.0,Feature 4 - orient
SAMPLE_F4_perend,None,None,Feature 4 - perend
SAMPLE_F4_persta,None,None,Feature 4 - persta
SAMPLE_F4_prim,1,1,Feature 4 - prim
SAMPLE_F4_rcid,5233,5233,Feature 4 - rcid
SAMPLE_F4_recdat,None,None,Feature 4 - recdat
SAMPLE_F4_recind,None,None,Feature 4 - recind
SAMPLE_F4_rver,1,1,Feature 4 - rver
SAMPLE_F4_scamax,nan,nan,Feature 4 - scamax
SAMPLE_F4_scamin,9999999,9999999,Feature 4 - scamin
SAMPLE_F4_sordat,200303,200303,Feature 4 - sordat
SAMPLE_F4_sorind,"US,US,graph,Chart 411","US,US,graph,Chart 411",Feature 4 - sorind
SAMPLE_FEATURE_5_SEPARATOR,--- FEATURE 5 ---,--- FEATURE 5 ---,Feature 5 sample
SAMPLE_F5_agen,550,550,Feature 5 - agen
